Code,Company_Name,Sector
BMHS,Bundamedik Tbk.,Healthcare
BMRI,Bank Mandiri (Persero) Tbk.,Financials
BMSR,Bintang Mitra Semestaraya Tbk,Basic Materials
BMTR,Global Mediacom Tbk.,Consumer Cyclicals
BNBA,Bank Bumi Arta Tbk.,Financials
BNBR,Bakrie & Brothers Tbk,Industrials
BNGA,Bank CIMB Niaga Tbk.,Financials
BNII,Bank Maybank Indonesia Tbk.,Financials
BNLI,Bank Permata Tbk.,Financials
BOAT,Newport Marine Services Tbk.,Energy
BOBA,Formosa Ingredient Factory Tbk,Consumer Non-Cyclicals
BOGA,Bintang Oto Global Tbk.,Consumer Cyclicals
BOLA,Bali Bintang Sejahtera Tbk.,Consumer Cyclicals
BOLT,Garuda Metalindo Tbk.,Consumer Cyclicals
BOSS,Borneo Olah Sarana Sukses Tbk.,Energy
BPFI,Woori Finance Indonesia Tbk.,Financials
BPII,Batavia Prosperindo Internasio,Financials
BPTR,Batavia Prosperindo Trans Tbk.,Transportation & Logistics
BRPT,Barito Pacific Tbk.,Basic Materials
BRAM,Indo Kordsa Tbk.,Consumer Cyclicals
BREN,Barito Renewables Energy Tbk.,Infrastructure
BRIS,Bank Syariah Indonesia Tbk.,Financials
BRMS,Bumi Resources Minerals Tbk.,Basic Materials
BRNA,Berlina Tbk.,Basic Materials
BSBK,Wulandari Bangun Laksana Tbk.,Properties & Real Estate
BSDE,Bumi Serpong Damai Tbk.,Properties & Real Estate
BSIM,Bank Sinarmas Tbk.,Financials
BSML,Bintang Samudera Mandiri Lines,Energy
BSSR,Baramulti Suksessarana Tbk.,Energy
BSWD,Bank Of India Indonesia Tbk.,Financials
BTEK,Bumi Teknokultura Unggul Tbk,Consumer Non-Cyclicals
BTEL,Bakrie Telecom Tbk.,Infrastructure
BTON,Betonjaya Manunggal Tbk.,Basic Materials
BTPN,Bank SMBC Indonesia Tbk.,Financials
BTPS,Bank BTPN Syariah Tbk.,Financials
BUAH,Segar Kumala Indonesia Tbk.,Consumer Non-Cyclicals
BUDI,Budi Starch & Sweetener Tbk.,Consumer Non-Cyclicals
BUKA,Bukalapak.com Tbk.,Technology
BUKK,Bukaka Teknik Utama Tbk.,Infrastructure
BULL,Buana Lintas Lautan Tbk.,Energy
BUMI,Bumi Resources Tbk.,Energy
BUVA,Bukit Uluwatu Villa Tbk.,Consumer Cyclicals
BVIC,Bank Victoria International Tb,Financials
BWPT,Eagle High Plantations Tbk.,Consumer Non-Cyclicals
BYAN,Bayan Resources Tbk.,Energy
CAKK,Cahayaputra Asa Keramik Tbk.,Industrials
CAMP,Campina Ice Cream Industry Tbk,Consumer Non-Cyclicals
CANI,Capitol Nusantara Indonesia Tb,Energy
CARE,Metro Healthcare Indonesia Tbk,Healthcare
CARS,Industri dan Perdagangan Bintr,Consumer Cyclicals
CASA,Capital Financial Indonesia Tb,Financials
CASH,Cashlez Worldwide Indonesia Tb,Technology
CASS,Cardig Aero Services Tbk.,Infrastructure
CBMF,Cahaya Bintang Medan Tbk.,Consumer Cyclicals
CBPE,Citra Buana Prasida Tbk.,Properties & Real Estate
CBRE,Cakra Buana Resources Energi T,Energy
CBUT,Citra Borneo Utama Tbk.,Consumer Non-Cyclicals
CCSI,Communication Cable Systems In,Industrials
CEKA,Wilmar Cahaya Indonesia Tbk.,Consumer Non-Cyclicals
CENT,Centratama Telekomunikasi Indo,Infrastructure
CFIN,Clipan Finance Indonesia Tbk.,Financials
CGAS,Citra Nusantara Gemilang Tbk.,Energy
CHEM,Chemstar Indonesia Tbk.,Basic Materials
CHIP,Pelita Teknologi Global Tbk.,Technology
CINT,Chitose Internasional Tbk.,Consumer Cyclicals
CITA,Cita Mineral Investindo Tbk.,Basic Materials
CITY,Natura City Developments Tbk.,Properties & Real Estate
CLAY,Citra Putra Realty Tbk.,Consumer Cyclicals
CLEO,Sariguna Primatirta Tbk.,Consumer Non-Cyclicals
CLPI,Colorpak Indonesia Tbk.,Basic Materials
CMNP,Citra Marga Nusaphala Persada,Infrastructure
CMNT,Cemindo Gemilang Tbk.,Basic Materials
CMPP,AirAsia Indonesia Tbk.,Transportation & Logistics
CMRY,Cisarua Mountain Dairy Tbk.,Consumer Non-Cyclicals
CNKO,Exploitasi Energi Indonesia Tb,Energy
CNMA,Nusantara Sejahtera Raya Tbk.,Consumer Cyclicals
CNTX,Century Textile Industry Tbk.,Consumer Cyclicals
COAL,Black Diamond Resources Tbk.,Energy
COCO,Wahana Interfood Nusantara Tbk,Consumer Non-Cyclicals
COWL,Cowell Development Tbk.,Properties & Real Estate
CPIN,Charoen Pokphand Indonesia Tbk,Consumer Non-Cyclicals
CPRI,Capri Nusa Satu Properti Tbk.,Properties & Real Estate
CPRO,Central Proteina Prima Tbk.,Consumer Non-Cyclicals
CRAB,Toba Surimi Industries Tbk.,Consumer Non-Cyclicals
CRSN,Carsurin Tbk.,Industrials
CSAP,Catur Sentosa Adiprana Tbk.,Consumer Cyclicals
CSIS,Cahayasakti Investindo Sukses,Properties & Real Estate
CSMI,Cia Selera Murni Tbk.,Consumer Cyclicals
CSRA,Cisadane Sawit Raya Tbk.,Consumer Non-Cyclicals
CTBN,Citra Tubindo Tbk.,Basic Materials
CTRA,Ciputra Development Tbk.,Properties & Real Estate
CTTH,Citatah Tbk.,Industrials
CUAN,Petrindo Jaya Kreasi Tbk.,Energy
CYBR,ITSEC Asia Tbk.,Technology
DAAZ,Daaz Bara Lestari Tbk.,Basic Materials
DADA,Diamond Citra Propertindo Tbk.,Properties & Real Estate
DART,Duta Anggada Realty Tbk.,Properties & Real Estate
DATA,Remala Abadi Tbk.,Infrastructure
DAYA,Duta Intidaya Tbk.,Consumer Non-Cyclicals
DCII,DCI Indonesia Tbk.,Technology
DEAL,Dewata Freightinternational Tb,Transportation & Logistics
DEFI,Danasupra Erapacific Tbk.,Financials
DEPO,Caturkarda Depo Bangunan Tbk.,Consumer Cyclicals
DEWA,Darma Henwa Tbk,Energy
DEWI,Dewi Shri Farmindo Tbk.,Consumer Non-Cyclicals
DFAM,Dafam Property Indonesia Tbk.,Consumer Cyclicals
DGIK,Nusa Konstruksi Enjiniring Tbk,Infrastructure
DGNS,Diagnos Laboratorium Utama Tbk,Healthcare
DIGI,Arkadia Digital Media Tbk.,Consumer Cyclicals
DILD,Intiland Development Tbk.,Properties & Real Estate
DIVA,Distribusi Voucher Nusantara T,Technology
DKFT,Central Omega Resources Tbk.,Basic Materials
DLTA,Delta Djakarta Tbk.,Consumer Non-Cyclicals
DMAS,Puradelta Lestari Tbk.,Properties & Real Estate
DMMX,Digital Mediatama Maxima Tbk.,Technology
DMND,Diamond Food Indonesia Tbk.,Consumer Non-Cyclicals
DNAR,Bank Oke Indonesia Tbk.,Financials
DNET,Indoritel Makmur Internasional,Financials
DOID,Delta Dunia Makmur Tbk.,Energy
DOOH,Era Media Sejahtera Tbk.,Consumer Cyclicals
DOSS,Global Sukses Digital Tbk.,Consumer Cyclicals
DPNS,Duta Pertiwi Nusantara Tbk.,Basic Materials
DPUM,Dua Putra Utama Makmur Tbk.,Consumer Non-Cyclicals
DRMA,Dharma Polimetal Tbk.,Consumer Cyclicals
DSFI,Dharma Samudera Fishing Indust,Consumer Non-Cyclicals
DSNG,Dharma Satya Nusantara Tbk.,Consumer Non-Cyclicals
DSSA,Dian Swastatika Sentosa Tbk,Energy
PTDU,Djasa Ubersakti Tbk.,Infrastructure
DUCK,Jaya Bersama Indo Tbk.,Consumer Cyclicals
DUTI,Duta Pertiwi Tbk,Properties & Real Estate
DVLA,Darya-Varia Laboratoria Tbk.,Healthcare
DWGL,Dwi Guna Laksana Tbk.,Energy
DYAN,Dyandra Media International Tb,Industrials
EAST,Eastparc Hotel Tbk.,Consumer Cyclicals
ECII,Electronic City Indonesia Tbk.,Consumer Cyclicals
EDGE,Indointernet Tbk.,Technology
EKAD,Ekadharma International Tbk.,Basic Materials
ELIT,Data Sinergitama Jaya Tbk.,Technology
ELPI,Pelayaran Nasional Ekalya Purn,Transportation & Logistics
ELSA,Elnusa Tbk.,Energy
ELTY,Bakrieland Development Tbk.,Properties & Real Estate
EMDE,Megapolitan Developments Tbk.,Properties & Real Estate
EMTK,Elang Mahkota Teknologi Tbk.,Technology
ENAK,Champ Resto Indonesia Tbk.,Consumer Cyclicals
ENRG,Energi Mega Persada Tbk.,Energy
ENVY,Envy Technologies Indonesia Tb,Technology
ENZO,Morenzo Abadi Perkasa Tbk.,Consumer Non-Cyclicals
EPAC,Megalestari Epack Sentosaraya,Basic Materials
EPMT,Enseval Putera Megatrading Tbk,Consumer Non-Cyclicals
ERAA,Erajaya Swasembada Tbk.,Consumer Cyclicals
ERAL,Sinar Eka Selaras Tbk.,Consumer Cyclicals
ERTX,Eratex Djaja Tbk.,Consumer Cyclicals
ESIP,Sinergi Inti Plastindo Tbk.,Basic Materials
ESSA,ESSA Industries Indonesia Tbk.,Basic Materials
ESTA,Esta Multi Usaha Tbk.,Consumer Cyclicals
ESTI,Ever Shine Tex Tbk.,Consumer Cyclicals
ETWA,Eterindo Wahanatama Tbk,Basic Materials
EURO,Estee Gold Feet Tbk.,Consumer Non-Cyclicals
EXCL,XL Axiata Tbk.,Infrastructure
FAPA,FAP Agri Tbk.,Consumer Non-Cyclicals
FAST,Fast Food Indonesia Tbk.,Consumer Cyclicals
FASW,Fajar Surya Wisesa Tbk.,Basic Materials
FILM,MD Entertainment Tbk.,Consumer Cyclicals
FIMP,Fimperkasa Utama Tbk.,Infrastructure
FIRE,Alfa Energi Investama Tbk.,Energy
FISH,FKS Multi Agro Tbk.,Consumer Non-Cyclicals
FITT,Hotel Fitra International Tbk.,Consumer Cyclicals
FLMC,Falmaco Nonwoven Industri Tbk.,Consumer Non-Cyclicals
FMII,Fortune Mate Indonesia Tbk,Properties & Real Estate
FOLK,Multi Garam Utama Tbk.,Industrials
FOOD,Sentra Food Indonesia Tbk.,Consumer Non-Cyclicals
FORU,Fortune Indonesia Tbk,Consumer Cyclicals
FORZ,Forza Land Indonesia Tbk.,Properties & Real Estate
FPNI,Lotte Chemical Titan Tbk.,Basic Materials
FREN,Smartfren Telecom Tbk.,Infrastructure
FUJI,Fuji Finance Indonesia Tbk.,Financials
FUTR,Lini Imaji Kreasi Ekosistem Tb,Consumer Cyclicals
FWCT,Wijaya Cahaya Timber Tbk.,Basic Materials
GAMA,Aksara Global Development Tbk.,Properties & Real Estate
GDST,Gunawan Dianjaya Steel Tbk.,Basic Materials
GDYR,Goodyear Indonesia Tbk.,Consumer Cyclicals
GEMA,Gema Grahasarana Tbk.,Consumer Cyclicals
GEMS,Golden Energy Mines Tbk.,Energy
GGRM,Gudang Garam Tbk.,Consumer Non-Cyclicals
GGRP,Gunung Raja Paksi Tbk.,Basic Materials
GHON,Gihon Telekomunikasi Indonesia,Infrastructure
GIAA,Garuda Indonesia (Persero) Tbk,Transportation & Logistics
GJTL,Gajah Tunggal Tbk.,Consumer Cyclicals
GLOB,Globe Kita Terang Tbk.,Consumer Cyclicals
GLVA,Galva Technologies Tbk.,Technology
GMFI,Garuda Maintenance Facility Ae,Infrastructure
GMTD,Gowa Makassar Tourism Developm,Properties & Real Estate
GOLD,Visi Telekomunikasi Infrastruk,Infrastructure
GOLF,Intra Golflink Resorts Tbk.,Consumer Cyclicals
GOLL,Golden Plantation Tbk.,Consumer Non-Cyclicals
GOOD,Garudafood Putra Putri Jaya Tb,Consumer Non-Cyclicals
GOTO,GoTo Gojek Tokopedia Tbk.,Technology
GPRA,Perdana Gapuraprima Tbk.,Properties & Real Estate
GPSO,Geoprima Solusi Tbk.,Industrials
GRIA,Ingria Pratama Capitalindo Tbk,Properties & Real Estate
GRPH,Griha Putra Persada Tbk.,Consumer Cyclicals
GRPM,Graha Prima Mentari Tbk.,Consumer Non-Cyclicals
GSMF,Equity Development Investment,Financials
GTBO,Garda Tujuh Buana Tbk,Energy
GTRA,Grahaprima Suksesmandiri Tbk.,Transportation & Logistics
GTSI,GTS Internasional Tbk.,Energy
GULA,Aman Agrindo Tbk.,Consumer Non-Cyclicals
GUNA,Gunanusa Eramandiri Tbk.,Consumer Non-Cyclicals
GWSA,Greenwood Sejahtera Tbk.,Consumer Cyclicals
GZCO,Gozco Plantations Tbk.,Consumer Non-Cyclicals
HADE,Himalaya Energi Perkasa Tbk.,Infrastructure
HAIS,Hasnur Internasional Shipping,Transportation & Logistics
HAJJ,Arsy Buana Travelindo Tbk.,Consumer Cyclicals
HALO,Haloni Jane Tbk.,Healthcare
HATM,Habco Trans Maritima Tbk.,Transportation & Logistics
HBAT,Minahasa Membangun Hebat Tbk.,Properties & Real Estate
HDFA,Radana Bhaskara Finance Tbk.,Financials
HDIT,Hensel Davest Indonesia Tbk.,Technology
HDTX,Panasia Indo Resources Tbk.,Consumer Cyclicals
HEAL,Medikaloka Hermina Tbk.,Healthcare
HELI,Jaya Trishindo Tbk.,Transportation & Logistics
HERO,Hero Supermarket Tbk.,Consumer Non-Cyclicals
HEXA,Hexindo Adiperkasa Tbk.,Industrials
HILL,Hillcon Tbk.,Energy
HITS,Humpuss Intermoda Transportasi,Energy
HKMU,HK Metals Utama Tbk.,Basic Materials
HMSP,H.M. Sampoerna Tbk.,Consumer Non-Cyclicals
HOKI,Buyung Poetra Sembada Tbk.,Consumer Non-Cyclicals
HOME,Hotel Mandarine Regency Tbk.,Consumer Cyclicals
HOMI,Grand House Mulia Tbk.,Properties & Real Estate
HOPE,Harapan Duta Pertiwi Tbk.,Industrials
HOTL,Saraswati Griya Lestari Tbk.,Consumer Cyclicals
HRME,Menteng Heritage Realty Tbk.,Consumer Cyclicals
HRTA,Hartadinata Abadi Tbk.,Consumer Cyclicals
HRUM,Harum Energy Tbk.,Energy
HUMI,Humpuss Maritim Internasional,Energy
HYGN,Ecocare Indo Pasifik Tbk.,Industrials
IATA,MNC Energy Investments Tbk.,Energy
IBFN,Intan Baru Prana Tbk.,Industrials
IBOS,Indo Boga Sukses Tbk.,Consumer Non-Cyclicals
IBST,Inti Bangun Sejahtera Tbk.,Infrastructure
ICBP,Indofood CBP Sukses Makmur Tbk,Consumer Non-Cyclicals
ICON,Island Conces Indonesia Tbk.,Industrials
IDEA,Idea Indonesia Akademi Tbk.,Consumer Cyclicals
IDPR,Indonesia Pondasi Raya Tbk.,Infrastructure
IFII,Indonesia Fibreboard Industry,Basic Materials
IFSH,Ifishdeco Tbk.,Basic Materials
IGAR,Champion Pacific Indonesia Tbk,Basic Materials
IIKP,Inti Agri Resources Tbk,Consumer Cyclicals
IKAI,Intikeramik Alamasri Industri,Industrials
IKAN,Era Mandiri Cemerlang Tbk.,Consumer Non-Cyclicals
IKBI,Sumi Indo Kabel Tbk.,Industrials
IKPM,Ikapharmindo Putramas Tbk.,Healthcare
IMAS,Indomobil Sukses Internasional,Consumer Cyclicals
IMJS,Indomobil Multi Jasa Tbk.,Transportation & Logistics
IMPC,Impack Pratama Industri Tbk.,Industrials
INAF,Indofarma Tbk.,Healthcare
INAI,Indal Aluminium Industry Tbk.,Basic Materials
INCF,Indo Komoditi Korpora Tbk.,Basic Materials
INCI,Intanwijaya Internasional Tbk,Basic Materials
INCO,Vale Indonesia Tbk.,Basic Materials
INDF,Indofood Sukses Makmur Tbk.,Consumer Non-Cyclicals
INDO,Royalindo Investa Wijaya Tbk.,Properties & Real Estate
INDR,Indo-Rama Synthetics Tbk.,Consumer Cyclicals
INDS,Indospring Tbk.,Consumer Cyclicals
INDX,Tanah Laut Tbk,Industrials
INDY,Indika Energy Tbk.,Energy
INET,Sinergi Inti Andalan Prima Tbk,Infrastructure
INKP,Indah Kiat Pulp & Paper Tbk.,Basic Materials
INOV,Inocycle Technology Group Tbk.,Consumer Cyclicals
INPC,Bank Artha Graha Internasional,Financials
INPP,Indonesian Paradise Property T,Properties & Real Estate
INPS,Indah Prakasa Sentosa Tbk.,Energy
INRU,Toba Pulp Lestari Tbk.,Basic Materials
INTA,Intraco Penta Tbk.,Industrials
INTD,Inter Delta Tbk,Basic Materials
INTP,Indocement Tunggal Prakarsa Tb,Basic Materials
IOTF,Sumber Sinergi Makmur Tbk.,Technology
IPAC,Era Graharealty Tbk.,Properties & Real Estate
IPCC,Indonesia Kendaraan Terminal T,Infrastructure
IPCM,Jasa Armada Indonesia Tbk.,Infrastructure
IPOL,Indopoly Swakarsa Industry Tbk,Basic Materials
IPPE,Indo Pureco Pratama Tbk.,Consumer Non-Cyclicals
IRRA,Itama Ranoraya Tbk.,Healthcare
IRSX,Aviana Sinar Abadi Tbk.,Technology
PTIS,Indo Straits Tbk.,Energy
ISAP,Isra Presisi Indonesia Tbk.,Consumer Cyclicals
ISAT,Indosat Tbk.,Infrastructure
ISEA,Indo American Seafoods Tbk.,Consumer Non-Cyclicals
ISSP,Steel Pipe Industry of Indones,Basic Materials
ITIC,Indonesian Tobacco Tbk.,Consumer Non-Cyclicals
ITMA,Sumber Energi Andalan Tbk.,Energy
ITMG,Indo Tambangraya Megah Tbk.,Energy
IPTV,MNC Vision Networks Tbk.,Consumer Cyclicals
JARR,Jhonlin Agro Raya Tbk.,Consumer Non-Cyclicals
JAST,Jasnita Telekomindo Tbk.,Infrastructure
JATI,Informasi Teknologi Indonesia,Technology
JAWA,Jaya Agra Wattie Tbk.,Consumer Non-Cyclicals
JAYA,Armada Berjaya Trans Tbk.,Transportation & Logistics
JECC,Jembo Cable Company Tbk.,Industrials
JGLE,Graha Andrasentra Propertindo,Consumer Cyclicals
JIHD,Jakarta International Hotels &,Consumer Cyclicals
JKON,Jaya Konstruksi Manggala Prata,Infrastructure
JKSW,Jakarta Kyoei Steel Works Tbk.,Basic Materials
JMAS,Asuransi Jiwa Syariah Jasa Mit,Financials
JPFA,Japfa Comfeed Indonesia Tbk.,Consumer Non-Cyclicals
JRPT,Jaya Real Property Tbk.,Properties & Real Estate
JSPT,Jakarta Setiabudi Internasiona,Consumer Cyclicals
JSKY,Sky Energy Indonesia Tbk.,Energy
JSMR,Jasa Marga (Persero) Tbk.,Infrastructure
JTPE,Jasuindo Tiga Perkasa Tbk.,Industrials
KAEF,Kimia Farma Tbk.,Healthcare
KARW,Meratus Jasa Prima Tbk.,Infrastructure
KAYU,Darmi Bersaudara Tbk.,Basic Materials
KBAG,Karya Bersama Anugerah Tbk.,Properties & Real Estate
KBLI,KMI Wire & Cable Tbk.,Industrials
KBLM,Kabelindo Murni Tbk.,Industrials
KBLV,First Media Tbk.,Infrastructure
KBRI,Kertas Basuki Rachmat Indonesi,Basic Materials
KDSI,Kedawung Setia Industrial Tbk.,Basic Materials
KDTN,Puri Sentul Permai Tbk.,Consumer Cyclicals
KEEN,Kencana Energi Lestari Tbk.,Infrastructure
KEJU,Mulia Boga Raya Tbk.,Consumer Non-Cyclicals
KETR,Ketrosden Triasmitra Tbk.,Infrastructure
KIAS,Keramika Indonesia Assosiasi T,Industrials
KICI,Kedaung Indah Can Tbk,Consumer Cyclicals
KIJA,Kawasan Industri Jababeka Tbk.,Properties & Real Estate
KING,Hoffmen Cleanindo Tbk.,Industrials
KINO,Kino Indonesia Tbk.,Consumer Non-Cyclicals
KIOS,Kioson Komersial Indonesia Tbk,Technology
KJEN,Krida Jaringan Nusantara Tbk.,Transportation & Logistics
KKES,Kusuma Kemindo Sentosa Tbk.,Basic Materials
KKGI,Resource Alam Indonesia Tbk.,Energy
KLAS,Pelayaran Kurnia Lautan Semest,Transportation & Logistics
KLBF,Kalbe Farma Tbk.,Healthcare
KLIN,Klinko Karya Imaji Tbk.,Consumer Cyclicals
KMDS,Kurniamitra Duta Sentosa Tbk.,Consumer Non-Cyclicals
